WishID,ItemName
1.0.we.sn2,祭礼残章
1.0.we.sn2,匣里灭辰
1.0.we.sn2,狼的末路
1.0.we.sn2,四风原典
1.1.we.sn1,笛剑
1.1.we.sn1,弓藏
1.1.we.sn1,雨裁
1.1.we.sn1,昭心
1.1.we.sn1,西风长枪
1.1.we.sn1,尘世之锁
1.1.we.sn1,天空之翼
1.1.we.sn2,匣里龙吟
1.1.we.sn2,西风猎弓
1.1.we.sn2,钟剑
1.1.we.sn2,西风秘典
1.1.we.sn2,匣里灭辰
1.1.we.sn2,贯虹之槊
1.1.we.sn2,无工之剑
1.2.we.sn1,西风剑
1.2.we.sn1,绝弦
1.2.we.sn1,西风大剑
1.2.we.sn1,祭礼残章
1.2.we.sn1,西风长枪
1.2.we.sn1,斫锋之刃
1.2.we.sn1,天空之卷
1.2.we.sn2,祭礼剑
1.2.we.sn2,西风猎弓
1.2.we.sn2,钟剑
1.2.we.sn2,昭心
1.2.we.sn2,匣里灭辰
1.2.we.sn2,阿莫斯之弓
1.2.we.sn2,天空之傲
1.3.we.sn1,笛剑
1.3.we.sn1,弓藏
1.3.we.sn1,祭礼大剑
1.3.we.sn1,昭心
1.3.we.sn1,西风长枪
1.3.we.sn1,磐岩结绿
1.3.we.sn1,和璞鸢
1.3.we.sn2,匣里龙吟
1.3.we.sn2,祭礼弓
1.3.we.sn2,千岩古剑
1.3.we.sn2,流浪乐章
1.3.we.sn2,千岩长枪
1.3.we.sn2,狼的末路
1.3.we.sn2,护摩之杖
1.4.we.sn1,暗巷闪光
1.4.we.sn1,西风猎弓
1.4.we.sn1,西风大剑
1.4.we.sn1,暗巷的酒与诗
1.4.we.sn1,匣里灭辰
1.4.we.sn1,天空之刃
1.4.we.sn1,终末嗟叹之诗
1.4.we.sn2,西风剑
1.4.we.sn2,暗巷猎手
1.4.we.sn2,祭礼大剑
1.4.we.sn2,西风秘典
1.4.we.sn2,西风长枪
1.4.we.sn2,四风原典
1.4.we.sn2,天空之翼
1.5.we.sn1,笛剑
1.5.we.sn1,祭礼弓
1.5.we.sn1,千岩古剑
1.5.we.sn1,昭心
1.5.we.sn1,千岩长枪
1.5.we.sn1,尘世之锁
1.5.we.sn1,斫锋之刃
1.5.we.sn2,祭礼剑
1.5.we.sn2,弓藏
1.5.we.sn2,雨裁
1.5.we.sn2,祭礼残章
1.5.we.sn2,匣里灭辰
1.5.we.sn2,风鹰剑
1.5.we.sn2,松籁响起之时
1.6.we.sn1,匣里龙吟
1.6.we.sn1,幽夜华尔兹
1.6.we.sn1,钟剑
1.6.we.sn1,流浪乐章
1.6.we.sn1,西风长枪
1.6.we.sn1,四风原典
1.6.we.sn1,天空之傲
1.6.we.sn2,暗巷闪光
1.6.we.sn2,暗巷猎手
1.6.we.sn2,西风大剑
1.6.we.sn2,暗巷的酒与诗
1.6.we.sn2,匣里灭辰
1.6.we.sn2,天空之卷
1.6.we.sn2,苍古自由之誓
2.0.we.sn1,西风剑
2.0.we.sn1,绝弦
2.0.we.sn1,祭礼大剑
2.0.we.sn1,西风秘典
2.0.we.sn1,西风长枪
2.0.we.sn1,雾切之回光
2.0.we.sn1,天空之脊
2.0.we.sn2,祭礼剑
2.0.we.sn2,西风猎弓
2.0.we.sn2,雨裁
2.0.we.sn2,祭礼残章
2.0.we.sn2,匣里灭辰
2.0.we.sn2,天空之刃
2.0.we.sn2,飞雷之弦振
2.1.we.sn1,匣里龙吟
2.1.we.sn1,祭礼弓
2.1.we.sn1,钟剑
2.1.we.sn1,流浪乐章
2.1.we.sn1,西风长枪
2.1.we.sn1,无工之剑
2.1.we.sn1,薙草之稻光
2.1.we.sn2,笛剑
2.1.we.sn2,绝弦
2.1.we.sn2,西风大剑
2.1.we.sn2,西风秘典
2.1.we.sn2,匣里灭辰
2.1.we.sn2,磐岩结绿
2.1.we.sn2,不灭月华
2.2.we.sn1,西风剑
2.2.we.sn1,弓藏
2.2.we.sn1,恶王丸
2.2.we.sn1,昭心
2.2.we.sn1,西风长枪
2.2.we.sn1,尘世之锁
2.2.we.sn1,冬极白星
2.2.we.sn2,祭礼剑
2.2.we.sn2,曚云之月
2.2.we.sn2,雨裁
2.2.we.sn2,流浪乐章
2.2.we.sn2,断浪长鳍
2.2.we.sn2,护摩之杖
2.2.we.sn2,终末嗟叹之诗
2.3.we.sn1,匣里龙吟
2.3.we.sn1,暗巷猎手
2.3.we.sn1,祭礼大剑
2.3.we.sn1,暗巷的酒与诗
2.3.we.sn1,匣里灭辰
2.3.we.sn1,松籁响起之时
2.3.we.sn1,苍古自由之誓
2.3.we.sn2,暗巷闪光
2.3.we.sn2,幽夜华尔兹
2.3.we.sn2,钟剑
2.3.we.sn2,祭礼残章
2.3.we.sn2,西风长枪
2.3.we.sn2,天空之翼
2.3.we.sn2,赤角石溃杵 
2.4.we.sn1,笛剑
2.4.we.sn1,西风猎弓
2.4.we.sn1,西风大剑
2.4.we.sn1,流浪乐章
2.4.we.sn1,千岩长枪
2.4.we.sn1,和璞鸢
2.4.we.sn1,息灾
2.4.we.sn2,西风剑
2.4.we.sn2,祭礼弓
2.4.we.sn2,千岩古剑
2.4.we.sn2,西风秘典
2.4.we.sn2,匣里灭辰
2.4.we.sn2,阿莫斯之弓
2.4.we.sn2,贯虹之槊
2.5.we.sn1,祭礼剑
2.5.we.sn1,绝弦
2.5.we.sn1,雨裁
2.5.we.sn1,昭心
2.5.we.sn1,断浪长鳍
2.5.we.sn1,神乐之真意 
2.5.we.sn2,薙草之稻光
2.5.we.sn2,不灭月华
2.6.we.sn1,笛剑
2.6.we.sn1,弓藏
2.6.we.sn1,祭礼大剑
2.6.we.sn1,流浪乐章
2.6.we.sn1,匣里灭辰
2.6.we.sn1,终末嗟叹之诗
2.6.we.sn1,波乱月白经津
